level,TP,FP,FN,overall_precision,overall_recall
low,251,312,2855,44.58259325044405,8.081133290405667
medium,188,147,2918,56.11940298507463,6.052801030264005
high,97,56,3009,63.39869281045751,3.1229877656149387
